ticker,drug_name,approval_date,approval_year,app_type_clean,approval_type_weight,drug_novelty_score,market_timing_factor,rss_score,finbert_compound,finbert_positive,finbert_negative,vader_compound,vader_pos,vader_neg,day_of_week,market_cap_category,prior_approvals_count,approval_quarter,return_1d,return_3d,return_7d,price_up_7d
JNJ,Abaumab,2022-09-01,2022,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.4767,0.181,0.0,3,3,23,3,-1.5725,-1.3064,0.0302,1.0
PFE,Abatinib,2020-03-26,2020,BLA,0.8,0.5,0.9,0.715,0.0,0.33,0.33,0.4767,0.193,0.0,3,3,9,1,-2.6771,2.8976,3.5276,1.0
LLY,Zolmab,2019-10-02,2019,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.162,0.0,2,3,3,4,0.271,0.7757,0.2804,1.0
LLY,Mavximab,2022-08-21,2022,BLA,0.8,0.5,0.8,0.695,0.0,0.33,0.33,0.4767,0.171,0.0,6,3,18,3,0.0,-1.3092,-4.008,0.0
JNJ,Pallizumab,2023-09-06,2023,BLA,0.8,0.5,0.95,0.725,0.0,0.33,0.33,0.4767,0.171,0.0,2,3,33,3,1.2784,2.9428,3.7846,1.0
PFE,Zollizumab,2020-08-17,2020,NDA,1.0,0.6,0.9,0.84,0.0,0.33,0.33,0.4767,0.256,0.0,0,3,11,3,0.0261,0.9648,1.2777,1.0
JNJ,Zolumab,2021-04-30,2021,NDA,1.0,0.5,0.595,0.744,0.0,0.33,0.33,0.4767,0.171,0.0,4,3,14,2,1.524,1.524,3.5457,1.0
REGN,Dunximab,2020-12-05,2020,BLA,0.8,0.5,0.8,0.695,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,13,4,0.0,0.3492,1.0032,1.0
REGN,Dunmab,2018-10-29,2018,NDA,1.0,0.5,0.8415,0.7933,0.0,0.33,0.33,0.4767,0.193,0.0,0,2,3,4,1.0471,5.6309,5.5774,1.0
PFE,Tekumab,2020-09-07,2020,NDA,1.0,0.6,0.9,0.84,0.0,0.33,0.33,0.4767,0.256,0.0,0,3,12,3,0.0,-0.7793,3.0059,1.0
JNJ,Cirximab,2022-12-22,2022,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.7003,0.293,0.0,3,3,24,4,0.2542,0.226,0.2994,1.0
ABBV,Palvir,2022-08-14,2022,BLA,0.8,1.0,0.8,0.87,0.0,0.33,0.33,0.7003,0.309,0.0,6,3,20,3,0.0,-0.5974,-1.3704,0.0
AMGN,Tekvir,2018-09-03,2018,NDA,1.0,1.0,0.9,0.98,0.0,0.33,0.33,0.4767,0.181,0.0,0,2,2,3,0.0,-0.2948,2.933,1.0
AMGN,Velvir,2020-07-09,2020,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.7003,0.309,0.0,3,2,12,3,-1.0411,-0.6437,1.4066,1.0
GILD,Zoltinib,2018-01-20,2018,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,0,1,0.0,-0.565,9.0775,1.0
REGN,Palinib,2021-03-12,2021,ANDA,0.3,0.0,0.7,0.275,0.0,0.33,0.33,0.4767,0.256,0.0,4,2,15,1,2.6471,2.6471,0.4751,1.0
BMY,Mavvir,2019-07-29,2019,ANDA,0.3,0.0,0.765,0.288,0.0,0.33,0.33,0.4767,0.181,0.0,0,2,5,3,-1.8286,-0.4186,-0.022,0.0
BMY,Mavximab,2019-11-13,2019,NDA,1.0,0.5,1.0,0.825,0.0,0.33,0.33,0.4767,0.193,0.0,2,2,7,4,-0.4763,-1.9391,-4.0483,0.0
MRK,Dunafil,2022-05-15,2022,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.171,0.0,6,3,13,2,0.0,-0.2383,1.6356,1.0
BMY,Ribafil,2018-02-16,2018,NDA,1.0,0.5,0.7,0.765,0.0,0.33,0.33,0.4767,0.193,0.0,4,2,0,1,-2.3347,-2.3347,-1.4646,0.0
AZN,Cirmab,2019-01-05,2019,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,5,1,0.0,-1.6761,-8.3291,0.0
ABBV,Tekvir,2020-12-17,2020,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.4767,0.181,0.0,3,3,8,4,-0.4195,-1.125,-1.554,0.0
AMGN,Narlizumab,2021-02-24,2021,NDA,1.0,0.5,0.95,0.815,0.0,0.33,0.33,0.4767,0.193,0.0,2,2,17,1,-1.074,-1.2827,-2.6306,0.0
AMGN,Mavciclib,2021-01-24,2021,BLA,0.8,1.0,0.8,0.87,0.0,0.33,0.33,0.4767,0.181,0.0,6,2,15,1,0.0,-2.3493,-6.4839,0.0
MRK,Dunximab,2019-12-05,2019,NDA,1.0,0.5,0.9,0.805,0.0,0.33,0.33,0.4767,0.171,0.0,3,3,5,4,0.1127,-0.0338,0.9239,1.0
LLY,Riblizumab,2018-06-03,2018,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.171,0.0,6,3,1,2,0.0,1.0109,0.9286,1.0
GILD,Dunumab,2021-05-28,2021,NDA,1.0,0.5,0.595,0.744,0.0,0.33,0.33,0.4767,0.193,0.0,4,2,11,2,-1.195,-1.195,1.9967,1.0
AZN,Abaumab,2019-07-05,2019,NDA,1.0,0.5,0.7,0.765,0.0,0.33,0.33,0.4767,0.193,0.0,4,2,8,3,-0.2687,-0.2687,-1.7831,0.0
MRK,Dunzumab,2022-11-17,2022,ANDA,0.3,0.0,0.99,0.333,0.0,0.33,0.33,0.7003,0.279,0.0,3,3,15,4,1.8767,3.2255,5.0729,1.0
AZN,Zoltinib,2022-06-20,2022,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.7003,0.309,0.0,0,2,21,2,0.0,2.5784,5.8571,1.0
AZN,Abatinib,2019-05-12,2019,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.256,0.0,6,2,6,2,0.0,1.073,0.6974,1.0
MRNA,Zolmab,2022-04-18,2022,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.4767,0.193,0.0,0,1,18,2,-1.3118,-6.6236,-2.8045,0.0
MRK,Velvir,2021-12-11,2021,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.162,0.0,5,3,11,4,0.0,1.3612,5.0598,1.0
REGN,Palmab,2018-01-12,2018,NDA,1.0,0.5,0.7,0.765,0.0,0.33,0.33,0.4767,0.193,0.0,4,2,0,1,0.8857,0.8857,1.2454,1.0
JNJ,Velvir,2018-03-31,2018,ANDA,0.3,0.0,0.68,0.271,0.0,0.33,0.33,0.4767,0.171,0.0,5,3,0,1,0.0,3.0427,3.9499,1.0
MRNA,Duninib,2020-04-05,2020,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.181,0.0,6,1,8,2,0.0,-6.4088,-5.0231,0.0
BIIB,Dunciclib,2019-12-30,2019,NDA,1.0,0.5,0.765,0.778,0.0,0.33,0.33,0.4767,0.193,0.0,0,2,5,4,0.2432,-0.598,-1.7533,0.0
AMGN,Abainib,2021-01-27,2021,NDA,1.0,1.0,0.95,0.99,0.0,0.33,0.33,0.4767,0.181,0.0,2,2,16,1,-1.3184,-4.234,-5.5684,0.0
LLY,Zolafil,2018-02-06,2018,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.22,0.0,1,3,0,1,-1.6284,-2.2567,-2.2823,0.0
LLY,Zolumab,2020-05-22,2020,NDA,1.0,0.5,0.7,0.765,0.0,0.33,0.33,0.4767,0.162,0.0,4,3,6,2,-2.117,-2.117,1.1842,1.0
AZN,Ribumab,2021-09-27,2021,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.4767,0.181,0.0,0,2,16,3,-1.8563,2.282,3.0994,1.0
REGN,Narafil,2018-03-17,2018,NDA,1.0,1.0,0.8,0.96,0.0,0.33,0.33,0.4767,0.181,0.0,5,2,1,1,0.0,-1.5395,-2.4684,0.0
AZN,Dunlizumab,2021-10-22,2021,ANDA,0.3,0.0,0.77,0.289,0.0,0.33,0.33,0.7003,0.309,0.0,4,2,17,4,-0.0324,-0.0324,0.9548,1.0
GILD,Abalizumab,2022-02-01,2022,NDA,1.0,0.5,1.0,0.825,0.0,0.33,0.33,0.4767,0.181,0.0,1,2,15,1,-3.8703,-6.6745,-6.9666,0.0
GILD,Cirafil,2020-12-01,2020,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.193,0.0,1,2,10,4,0.0163,0.7199,0.0818,1.0
AMGN,Palciclib,2021-05-23,2021,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.181,0.0,6,2,18,2,0.0,-3.7134,-5.7195,0.0
AMGN,Velvir,2022-03-23,2022,NDA,1.0,1.0,0.95,0.99,0.0,0.33,0.33,0.4767,0.181,0.0,2,2,23,1,1.1487,2.686,3.5827,1.0
MRNA,Dunlizumab,2021-05-02,2021,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.7003,0.309,0.0,6,1,15,2,0.0,-12.461,-14.7672,0.0
JNJ,Mavzumab,2023-01-31,2023,ANDA,0.3,0.0,0.85,0.305,0.0,0.33,0.33,0.4767,0.181,0.0,1,3,27,1,0.9179,0.7282,-0.0122,0.0
LLY,Abaximab,2021-03-01,2021,NDA,1.0,0.5,0.9,0.805,0.0,0.33,0.33,0.4767,0.171,0.0,0,3,12,1,-1.1285,-2.8721,0.2712,1.0
JNJ,Tekvir,2021-04-20,2021,NDA,1.0,0.5,1.0,0.825,0.0,0.33,0.33,0.4767,0.181,0.0,1,3,13,2,0.066,-0.5767,-1.9822,0.0
JNJ,Palvir,2018-06-22,2018,ANDA,0.3,0.0,0.7,0.275,0.0,0.33,0.33,0.4767,0.181,0.0,4,3,1,2,-0.2035,-0.2035,-1.2211,0.0
REGN,Narafil,2020-06-13,2020,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,8,2,0.0,0.3945,6.4192,1.0
JNJ,Narumab,2018-07-09,2018,NDA,1.0,0.5,0.9,0.805,0.0,0.33,0.33,0.4767,0.181,0.0,0,3,2,3,1.0551,1.3566,-1.0789,0.0
ABBV,Mavvir,2021-02-14,2021,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.193,0.0,6,3,13,1,0.0,2.0058,2.7447,1.0
MRK,Dunzumab,2018-07-22,2018,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.171,0.0,6,3,2,3,0.0,2.8712,3.3817,1.0
JNJ,Narumab,2023-09-26,2023,NDA,1.0,1.0,1.0,1.0,0.0,0.33,0.33,0.4767,0.171,0.0,1,3,34,3,-1.2011,-2.0564,-2.3142,0.0
PFE,Narvir,2019-04-16,2019,NDA,1.0,0.5,1.0,0.825,0.0,0.33,0.33,0.4767,0.193,0.0,1,3,5,2,-2.5415,-4.741,-3.6657,0.0
ABBV,Duntinib,2019-10-30,2019,BLA,0.8,0.5,0.8883,0.7127,0.0,0.33,0.33,0.4767,0.193,0.0,2,3,5,4,-0.1381,4.1803,3.0379,1.0
REGN,Dunciclib,2019-06-24,2019,NDA,1.0,1.0,0.9,0.98,0.0,0.33,0.33,0.7003,0.309,0.0,0,2,6,2,0.112,-0.6015,1.283,1.0
BIIB,Zollizumab,2021-05-09,2021,BLA,0.8,0.6,0.8,0.73,0.0,0.33,0.33,0.4767,0.256,0.0,6,2,10,2,0.0,-0.5769,1.738,1.0
REGN,Ribximab,2022-05-01,2022,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.193,0.0,6,2,23,2,0.0,1.3558,-8.0136,0.0
JNJ,Narinib,2023-01-13,2023,ANDA,0.3,0.0,0.7,0.275,0.0,0.33,0.33,0.4767,0.181,0.0,4,3,25,1,-0.6169,-0.6169,-2.7042,0.0
MRNA,Tektinib,2020-10-25,2020,ANDA,0.3,0.0,0.88,0.311,0.0,0.33,0.33,0.4767,0.193,0.0,6,1,13,4,0.0,-6.4066,-4.4561,0.0
PFE,Dunvir,2022-12-08,2022,BLA,0.8,0.6,0.9,0.75,0.0,0.33,0.33,0.4767,0.256,0.0,3,3,20,4,-0.1159,0.7339,3.5342,1.0
GILD,Zolinib,2019-11-20,2019,BLA,0.8,0.5,1.0,0.735,0.0,0.33,0.33,0.4767,0.181,0.0,2,2,4,4,1.3101,3.6066,3.4525,1.0
JNJ,Tekximab,2019-02-09,2019,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.171,0.0,5,3,5,1,0.0,1.6364,2.7955,1.0
PFE,Mavmab,2022-07-27,2022,NDA,1.0,0.6,0.95,0.85,0.0,0.33,0.33,0.4767,0.256,0.0,2,3,18,3,-1.6101,-1.8235,-3.2784,0.0
LLY,Cirmab,2019-12-15,2019,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.171,0.0,6,3,5,4,0.0,5.3968,6.7562,1.0
MRK,Zolmab,2023-03-17,2023,BLA,0.8,1.0,0.7,0.85,0.0,0.33,0.33,0.4767,0.162,0.0,4,3,16,1,1.6811,1.6811,0.6724,1.0
AZN,Velinib,2020-05-30,2020,BLA,0.8,1.0,0.68,0.846,0.0,0.33,0.33,0.4767,0.181,0.0,5,2,11,2,0.0,-0.7977,-4.6773,0.0
ABBV,Palximab,2018-09-07,2018,ANDA,0.3,0.0,0.7,0.275,0.0,0.33,0.33,0.7003,0.309,0.0,4,3,0,3,-0.3716,-0.3716,1.6035,1.0
JNJ,Zolximab,2018-09-25,2018,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.7003,0.293,0.0,1,3,4,3,-0.3462,-0.339,1.3272,1.0
MRK,Narumab,2020-02-02,2020,BLA,0.8,0.5,0.8,0.695,0.0,0.33,0.33,0.4767,0.171,0.0,6,3,6,1,0.0,-1.7289,-1.9235,0.0
LLY,Ribafil,2019-08-01,2019,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.4767,0.171,0.0,3,3,2,3,1.7283,-1.6288,3.1309,1.0
REGN,Palinib,2021-08-22,2021,BLA,0.8,0.5,0.8,0.695,0.0,0.33,0.33,0.4767,0.193,0.0,6,2,20,3,0.0,0.2832,1.4671,1.0
BIIB,Abaciclib,2023-07-11,2023,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.256,0.0,1,2,15,3,-0.7933,-0.3252,-1.3115,0.0
PFE,Tekvir,2020-10-16,2020,ANDA,0.3,0.0,0.77,0.289,0.0,0.33,0.33,0.4767,0.256,0.0,4,3,15,4,-0.3952,-0.3952,0.606,1.0
PFE,Velumab,2018-05-18,2018,NDA,1.0,0.5,0.7,0.765,0.0,0.33,0.33,0.4767,0.193,0.0,4,3,1,2,0.4489,0.4489,0.1123,1.0
PFE,Palximab,2018-03-10,2018,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.193,0.0,5,3,0,1,0.0,0.3824,-0.7648,0.0
LLY,Mavtinib,2023-06-18,2023,ANDA,0.3,0.0,0.8,0.295,0.0,0.33,0.33,0.4767,0.22,0.0,6,3,22,2,0.0,0.2323,0.1792,1.0
ABBV,Ribinib,2023-03-03,2023,NDA,1.0,1.0,0.7,0.94,0.0,0.33,0.33,0.4767,0.181,0.0,4,3,23,1,-0.4998,-0.4998,-4.0689,0.0
AMGN,Palvir,2020-10-25,2020,ANDA,0.3,0.0,0.88,0.311,0.0,0.33,0.33,0.4767,0.181,0.0,6,2,13,4,0.0,-3.7841,-2.081,0.0
BMY,Cirinib,2019-06-08,2019,NDA,1.0,0.5,0.8,0.785,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,4,2,0.0,1.8691,4.7815,1.0
AMGN,Narximab,2023-09-26,2023,NDA,1.0,0.5,1.0,0.825,0.0,0.33,0.33,0.4767,0.181,0.0,1,2,26,3,-0.0223,-0.1041,-2.9847,0.0
BIIB,Cirzumab,2018-12-03,2018,ANDA,0.3,0.0,0.9,0.315,0.0,0.33,0.33,0.4767,0.193,0.0,0,2,1,4,-2.8478,-1.6527,-3.8382,0.0
ABBV,Abatinib,2021-06-30,2021,NDA,1.0,0.5,0.8075,0.7865,0.0,0.33,0.33,0.4767,0.181,0.0,2,3,14,2,1.4382,2.7433,3.6488,1.0
AMGN,Velinib,2023-10-27,2023,NDA,1.0,0.6,0.77,0.814,0.0,0.33,0.33,0.4767,0.256,0.0,4,2,27,4,0.6193,0.6193,3.1693,1.0
AMGN,Ribafil,2021-08-28,2021,BLA,0.8,0.5,0.68,0.671,0.0,0.33,0.33,0.4767,0.181,0.0,5,2,19,3,0.0,0.6246,-1.2448,0.0
LLY,Palvir,2022-11-10,2022,BLA,0.8,0.5,0.99,0.733,0.0,0.33,0.33,0.4767,0.162,0.0,3,3,19,4,-4.4532,-3.1641,-1.8832,0.0
JNJ,Narafil,2021-04-30,2021,ANDA,0.3,0.0,0.595,0.254,0.0,0.33,0.33,0.4767,0.237,0.0,4,3,15,2,1.524,1.524,3.5457,1.0
REGN,Zolafil,2023-05-31,2023,BLA,0.8,0.6,0.8075,0.7315,0.0,0.33,0.33,0.4767,0.256,0.0,2,2,28,2,-0.5968,1.9999,0.4174,1.0
AMGN,Zolzumab,2019-06-21,2019,BLA,0.8,0.5,0.7,0.675,0.0,0.33,0.33,0.4767,0.193,0.0,4,2,8,2,-1.2185,-1.2185,-1.5125,0.0
AZN,Palzumab,2018-08-21,2018,BLA,0.8,0.5,1.0,0.735,0.0,0.33,0.33,0.4767,0.181,0.0,1,2,2,3,-0.258,-1.1868,-0.2838,0.0
MRNA,Abavir,2022-03-22,2022,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.181,0.0,1,1,17,1,-4.2791,-11.1397,-3.2562,0.0
MRNA,Mavlizumab,2020-05-26,2020,ANDA,0.3,0.0,1.0,0.335,0.0,0.33,0.33,0.4767,0.181,0.0,1,1,9,2,-9.5824,6.5673,3.7429,1.0
PFE,Mavafil,2022-09-30,2022,NDA,1.0,0.5,0.595,0.744,0.0,0.33,0.33,0.4767,0.193,0.0,4,3,19,3,0.8684,0.8684,-3.2906,0.0
AZN,Velafil,2022-06-19,2022,BLA,0.8,0.5,0.8,0.695,0.0,0.33,0.33,0.4767,0.181,0.0,6,2,20,2,0.0,1.1459,5.8571,1.0
LLY,Dunzumab,2020-11-29,2020,ANDA,0.3,0.0,0.748,0.2846,0.0,0.33,0.33,0.4767,0.162,0.0,6,3,9,4,0.0,-0.3364,1.2152,1.0
BMY,Abaximab,2022-10-22,2022,BLA,0.8,0.5,0.88,0.711,0.0,0.33,0.33,0.4767,0.193,0.0,5,2,15,4,0.0,-0.3014,6.1378,1.0
ABBV,Paltinib,2022-01-04,2022,BLA,0.8,0.5,1.0,0.735,0.0,0.33,0.33,0.4767,0.181,0.0,1,3,18,1,0.5253,-0.2072,1.3392,1.0
JNJ,Mavvir,2022-07-27,2022,NDA,1.0,0.5,0.95,0.815,0.0,0.33,0.33,0.4767,0.181,0.0,2,3,22,3,0.5773,0.4099,0.8025,1.0
